"ASV","T1","T2","T3","T7","T8","T10","T12","T13","T15","T16","T17","T18","T22","T23","T25","T26","T27","T30","T32","T33","T34","S1","S2","S3","S7","S8","S10","S12","S13","S15","S16","S17","S18","S22","S23","S25","S26","S27","S30","S32","S34","Domain","Phylum","Class","Order","Family","Genus","Species"
"ASV4981",0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Anomopus","s__Anomopus telphusae"
"ASV4986",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Habrotrochidae","g__Habrotrocha","s__Habrotrocha constricta"
"ASV5077",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Habrotrochidae","g__Habrotrocha","s__Habrotrocha constricta"
"ASV5231",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Rotaria","s__Rotaria rotatoria"
"ASV5244",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Rotaria","s__Rotaria rotatoria"
"ASV5314",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Ploima","f__Brachionidae","g__Brachionus","s__Brachionus urceolaris"
"ASV5350",3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Ploima","f__Proalidae","g__Bryceella","s__Bryceella stylata"
"ASV5635",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Anomopus","s__Anomopus telphusae"
"ASV5636",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Habrotrochidae","g__Habrotrocha","s__Habrotrocha constricta"
"ASV5804",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Rotaria","s__Rotaria rotatoria"
