"ASV","T1","T2","T3","T7","T8","T10","T12","T13","T15","T16","T17","T18","T22","T23","T25","T26","T27","T30","T32","T33","T34","S1","S2","S3","S7","S8","S10","S12","S13","S15","S16","S17","S18","S22","S23","S25","S26","S27","S30","S32","S33","S34","Domain","Phylum","Class","Order","Family","Genus","Species"
"ASV10511",12,0,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Ploima","f__Lecanidae","g__Lecane","s__Lecane leontina"
"ASV11385",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Adinetida","f__Adinetidae","g__Adineta","s__Adineta vaga"
"ASV11451",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Macrotrachela","s__Macrotrachela quadricornifera"
"ASV12332",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Pleuretra","s__Pleuretra lineata"
"ASV12411",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Ploima","f__Lecanidae","g__Lecane","s__Lecane sp. bulla3"
"ASV12785",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Pleuretra","s__Pleuretra lineata"
"ASV12974",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Ploima","f__Trichocercidae","g__Trichocerca","s__Trichocerca sp. WM-2017d"
"ASV13123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Adinetida","f__Adinetidae","g__Adineta","s__Adineta vaga"
"ASV13139",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Adinetida","f__Adinetidae","g__Adineta","s__Adineta vaga"
"ASV13444",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Adinetida","f__Adinetidae","g__Adineta","s__Adineta gracilis"
"ASV13531",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Adinetida","f__Adinetidae","g__Adineta","s__Adineta vaga"
"ASV13650",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Adinetida","f__Adinetidae","g__Adineta","s__Adineta vaga"
"ASV13744",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Adinetida","f__Adinetidae","g__Adineta","s__Adineta vaga"
"ASV14044",0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Adinetida","f__Adinetidae","g__Adineta","s__Adineta vaga"
"ASV14234",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Adinetida","f__Adinetidae","g__Adineta","s__Adineta vaga"
"ASV14769",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Adinetida","f__Adinetidae","g__Adineta","s__Adineta sp. AN.2.4"
"ASV15116",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Adinetida","f__Adinetidae","g__Adineta","s__Adineta sp. TZ.2"
"ASV15312",0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Ploima","f__Synchaetidae","g__Polyarthra","s__Polyarthra dolichoptera"
"ASV15660",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Adinetida","f__Adinetidae","g__Adineta","s__Adineta vaga"
"ASV15831",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Adinetida","f__Adinetidae","g__Adineta","s__Adineta vaga"
"ASV15851",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Pleuretra","s__Pleuretra lineata"
"ASV16016",0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Philodina","s__Philodina haejooni"
"ASV16216",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Ploima","f__Euchlanidae","g__Euchlanis","s__Euchlanis dilatata"
"ASV16671",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Macrotrachela","s__Macrotrachela quadricornifera"
"ASV16703",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Philodina","s__Philodina haejooni"
"ASV17610",0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Macrotrachela","s__Macrotrachela quadricornifera"
"ASV17724",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Habrotrochidae","g__Habrotrocha","s__Habrotrocha lata"
"ASV17739",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Adinetida","f__Adinetidae","g__Adineta","s__Adineta vaga"
"ASV17933",0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Adinetida","f__Adinetidae","g__Adineta","s__Adineta vaga"
"ASV18120",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Rotaria","s__Rotaria rotatoria"
"ASV18470",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Adinetida","f__Adinetidae","g__Adineta","s__Adineta vaga"
"ASV18738",2,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Ploima","f__Lecanidae","g__Lecane","s__Lecane leontina"
"ASV18747",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Adinetida","f__Adinetidae","g__Adineta","s__Adineta vaga"
"ASV19128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Macrotrachela","s__Macrotrachela quadricornifera"
"ASV19271",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Macrotrachela","s__Macrotrachela quadricornifera"
"ASV19581",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Adinetida","f__Adinetidae","g__Adineta","s__Adineta vaga"
"ASV20314",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Macrotrachela","s__Macrotrachela quadricornifera"
"ASV20612",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Ploima","f__Synchaetidae","g__Polyarthra","s__Polyarthra sp. UO-2013"
"ASV20930",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Philodina","s__Philodina megalotrocha"
"ASV21087",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Philodina","s__Philodina haejooni"
"ASV21473",2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Ploima","f__Synchaetidae","g__Polyarthra","s__Polyarthra dolichoptera"
"ASV21546",5,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Ploima","f__Synchaetidae","g__Polyarthra","s__Polyarthra dolichoptera"
"ASV22106",0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Adinetida","f__Adinetidae","g__Adineta","s__Adineta vaga"
"ASV22875",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Adinetida","f__Adinetidae","g__Adineta","s__Adineta vaga"
"ASV23640",0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Macrotrachela","s__Macrotrachela quadricornifera"
"ASV23770",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Macrotrachela","s__Macrotrachela quadricornifera"
"ASV23833",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Macrotrachela","s__Macrotrachela quadricornifera"
"ASV24039",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Adinetida","f__Adinetidae","g__Adineta","s__Adineta steineri"
